,Instrument,TRBC Economic Sector Name,ESG Score,ESG Combined Score,ESG Controversies Score,Region of Headquarters
112,TGT.N,Consumer Cyclicals,84.7136297507152,43.0711005896433,1.42857142857143,Americas
113,NTAP.OQ,Technology,64.508956995419,64.508956995419,81.4814814814815,Americas
114,OXY.N,Energy,74.139686908248,47.2550286393092,20.3703703703704,Americas
115,IR.N,Industrials,52.9275569373805,52.9275569373805,100.0,Americas
116,TER.OQ,Technology,58.0003567334022,58.0003567334022,100.0,Americas
117,WAB.N,Industrials,71.6323650143943,50.8161825071971,30.0,Americas
118,NOW.N,Technology,64.8632230592889,60.2511604018249,55.6390977443609,Americas
119,EXC.OQ,Utilities,60.5400183465029,49.5557234589657,38.5714285714286,Americas
120,BR.N,Industrials,66.6267220897847,66.6267220897847,100.0,Americas
121,EMN.N,Basic Materials,83.2406659641048,77.6780252897447,72.1153846153846,Americas
122,AZO.N,Consumer Cyclicals,61.8443466961631,61.8443466961631,100.0,Americas
123,TEL.N,Technology,69.2113487483444,69.2113487483444,71.7391304347826,Europe
124,FRT.N,Real Estate,84.08861490996,84.08861490996,100.0,Americas
125,DUK.N,Utilities,68.6900679501158,58.0057482607722,47.3214285714286,Americas
126,KMI.N,Energy,84.6639653573618,48.392588739287,12.1212121212121,Americas
127,DVN.N,Energy,52.9563220037455,52.9563220037455,77.1604938271605,Americas
128,RCL.N,Consumer Cyclicals,69.3707165297537,69.3707165297537,79.3333333333333,Americas
129,VTRS.OQ,Healthcare,73.7740397939688,39.1258258671336,4.47761194029851,Americas
130,CAH.N,Healthcare,75.3266375862656,60.2176666192197,45.1086956521739,Americas
131,MKC.N,Consumer Non-Cyclicals,79.7862251014226,79.7862251014226,100.0,Americas
132,IEX.N,Industrials,55.9258512915933,55.9258512915933,71.3333333333333,Americas
133,VLO.N,Energy,66.740913937637,45.0988520305469,23.4567901234568,Americas
134,EXPD.N,Industrials,60.1869108698854,60.1869108698854,68.75,Americas
135,LH.N,Healthcare,75.8021451040593,70.5933802443373,65.3846153846154,Americas
136,SW.N,Basic Materials,81.8731675644437,72.1865837822218,62.5,Europe
137,DRI.N,Consumer Cyclicals,52.7808609196953,51.047964706423,49.3150684931507,Americas
138,MAA.N,Real Estate,61.9024114781904,61.9024114781904,100.0,Americas
139,JNJ.N,Healthcare,84.7937495142803,42.7700090854983,0.746268656716418,Americas
140,COR.N,Healthcare,70.3053589812434,49.9067778512774,29.5081967213115,Americas
141,SHW.N,Basic Materials,73.9185624394207,47.5362042966334,21.1538461538462,Americas
142,GD.N,Industrials,66.7100921115666,66.7100921115666,87.9310344827586,Americas
143,SBAC.OQ,Real Estate,65.3554608022506,65.3554608022506,100.0,Americas
144,MPWR.OQ,Technology,41.4775667632671,41.4775667632671,100.0,Americas
145,COP.N,Energy,62.5649490354937,37.146672048611,11.7283950617284,Americas
146,ORCL.N,Technology,48.317747247983,45.775414977375,43.2330827067669,Americas
147,AMP.N,Financials,76.5062327007087,60.7107434689984,44.9152542372881,Americas
148,NXPI.OQ,Technology,77.0484500615314,62.5242250307657,48.0,Europe
149,CPRT.OQ,Technology,59.9189508768188,59.9189508768188,100.0,Americas
150,TXT.N,Industrials,70.8965337061311,43.2068875427207,15.5172413793103,Americas
151,T.N,Technology,81.8301148629762,41.4585356923577,1.08695652173913,Americas
152,MTCH.OQ,Technology,45.2866985802995,26.0457161540551,6.80473372781065,Americas
153,NDAQ.OQ,Financials,75.4741361194915,60.1946951783898,44.9152542372881,Americas
154,FFIV.OQ,Technology,68.2180770677687,68.2180770677687,100.0,Americas
155,LEN.N,Consumer Cyclicals,37.9575777292071,37.9575777292071,65.625,Americas
156,CDNS.OQ,Technology,73.9903209933214,73.9903209933214,100.0,Americas
157,NVDA.OQ,Technology,74.495402266237,44.2477011331185,14.0,Americas
158,WELL.N,Real Estate,73.5762181551158,73.5762181551158,100.0,Americas
159,PLD.N,Real Estate,74.1402214198862,74.1402214198862,100.0,Americas
160,ROST.OQ,Consumer Cyclicals,59.2037151463804,59.2037151463804,82.7586206896552,Americas
161,MRK.N,Healthcare,76.8105497722641,60.959622712219,45.1086956521739,Americas
162,WEC.N,Utilities,59.7281219110597,59.7281219110597,100.0,Americas
163,MSCI.N,Industrials,65.623556703352,65.623556703352,100.0,Americas
164,TMO.N,Healthcare,79.4133916594654,79.4133916594654,85.8108108108108,Americas
165,F.N,Consumer Cyclicals,72.0658289680759,36.4566432975973,0.847457627118644,Americas
166,GEHC.OQ,Healthcare,39.3813262043282,39.3813262043282,81.1475409836066,Americas
167,LYB.N,Basic Materials,74.7194779793807,74.7194779793807,100.0,Europe
168,IBM.N,Technology,73.4870088513533,43.3224517940977,13.1578947368421,Americas
169,IQV.N,Healthcare,57.4275887479326,57.4275887479326,89.1891891891892,Americas
170,VRTX.OQ,Healthcare,60.5339379321602,60.5339379321602,100.0,Americas
171,DXCM.OQ,Healthcare,56.9654758832792,37.9421974010991,18.9189189189189,Americas
172,PEP.OQ,Consumer Non-Cyclicals,85.8902002195386,44.611766776436,3.33333333333333,Americas
173,AOS.N,Industrials,53.9315698532332,53.9315698532332,100.0,Americas
174,BLK.N,Financials,73.5041035977613,43.1079840022705,12.7118644067797,Americas
175,HII.N,Industrials,39.0669102082846,39.0669102082846,63.7931034482759,Americas
176,CVS.N,Healthcare,89.7908084986316,46.7246725419987,3.65853658536585,Americas
177,PH.N,Industrials,64.2813069708737,50.8073201521035,37.3333333333333,Americas
178,NSC.N,Industrials,65.9537550890243,34.0185442111788,2.08333333333333,Americas
179,MSFT.OQ,Technology,90.9253349388125,46.2023124398205,1.4792899408284,Americas
180,HWM.N,Industrials,72.0609814123495,72.0609814123495,87.9310344827586,Americas
181,BAX.N,Healthcare,82.7326786611445,45.0548639207362,7.37704918032787,Americas
182,HUM.N,Healthcare,70.9619298628502,46.378400828861,21.7948717948718,Americas
183,AXON.OQ,Industrials,36.4013989373452,36.4013989373452,81.0810810810811,Americas
184,ZBH.N,Healthcare,64.5281560221276,64.5281560221276,81.1475409836066,Americas
185,TDY.N,Technology,41.4613862573921,41.4613862573921,100.0,Americas
186,GILD.OQ,Healthcare,83.0052966539757,57.1742901180326,31.3432835820896,Americas
187,EPAM.N,Technology,54.6838089406712,54.6838089406712,100.0,Americas
188,NOC.N,Industrials,70.2497037023048,70.2497037023048,100.0,Americas
189,PNW.N,Utilities,68.3427033855974,68.3427033855974,100.0,Americas
190,BFb.N,Consumer Non-Cyclicals,57.9350145260362,57.9350145260362,100.0,Americas
191,DE.N,Industrials,82.0096631076632,51.0048315538316,20.0,Americas
192,HSY.N,Consumer Non-Cyclicals,85.1537251142479,48.0915684394769,11.0294117647059,Americas
193,GL.N,Financials,55.2385727243228,28.1294904437941,1.02040816326531,Americas
194,SLB.N,Energy,75.8016907517736,46.9917544667959,18.1818181818182,Americas
195,AWK.N,Utilities,79.4752977804621,64.737648890231,50.0,Americas
196,PKG.N,Basic Materials,69.5330369001799,66.01651845009,62.5,Americas
197,CPAY.N,Industrials,49.3365357368769,49.3365357368769,65.5172413793103,Americas
198,ADI.OQ,Technology,69.1744565771304,69.1744565771304,100.0,Americas
199,MMC.N,Financials,65.1455578890028,65.1455578890028,100.0,Americas
200,IT.N,Technology,75.338541538662,75.338541538662,100.0,Americas
201,ECL.N,Basic Materials,76.9057616991937,76.9057616991937,100.0,Americas
202,BXP.N,Real Estate,72.4445092122171,72.4445092122171,100.0,Americas
203,GE.N,Industrials,83.4794954071065,58.9811270138981,34.4827586206897,Americas
204,ED.N,Utilities,66.4773869457589,66.4773869457589,100.0,Americas
205,ALLE.N,Technology,54.4717563527628,54.4717563527628,100.0,Europe
206,OTIS.N,Industrials,63.2143667559548,63.2143667559548,100.0,Americas
207,WFC.N,Financials,74.4364967159126,38.763192178181,3.08988764044944,Americas
208,CTVA.N,Basic Materials,63.1956251245592,37.8478125622796,12.5,Americas
209,FTV.N,Industrials,66.6678333484984,66.6678333484984,100.0,Americas
210,AEE.N,Utilities,44.0363424643926,44.0363424643926,75.0,Americas
211,PRU.N,Financials,70.8147039175188,42.9073519587594,15.0,Americas
212,DLTR.OQ,Consumer Cyclicals,58.8708470323372,34.4354235161686,10.0,Americas
213,CF.N,Basic Materials,62.5451910661882,48.5802878407864,34.6153846153846,Americas
214,NEE.N,Utilities,72.1302384217391,39.6365477822981,7.14285714285714,Americas
215,FMC.N,Basic Materials,83.353840871907,46.4846127436458,9.61538461538462,Americas
216,KLAC.OQ,Technology,55.4234435565615,55.4234435565615,100.0,Americas
217,AME.N,Industrials,58.3558548822966,58.3558548822966,100.0,Americas
218,NUE.N,Basic Materials,53.8391428677954,53.8391428677954,100.0,Americas
219,D.N,Utilities,81.3555389642178,81.3555389642178,100.0,Americas
220,SJM.N,Consumer Non-Cyclicals,62.5309920638149,62.5309920638149,75.0,Americas
221,EMR.N,Industrials,72.6619334140559,47.9976333736946,23.3333333333333,Americas
222,DVA.N,Healthcare,73.2299915976591,58.4098675937014,43.5897435897436,Americas
223,CMS.N,Utilities,56.9632351676324,56.9632351676324,75.0,Americas
224,HPE.N,Technology,74.7505007435528,53.5517209600117,32.3529411764706,Americas
225,BDX.N,Healthcare,82.7830414483375,58.1947994126933,33.6065573770492,Americas
226,MGM.N,Consumer Cyclicals,72.2059296722514,45.1546889740568,18.1034482758621,Americas
227,HUBB.N,Industrials,71.919136820876,71.919136820876,100.0,Americas
228,ALGN.OQ,Healthcare,47.9162316333108,47.9162316333108,50.0,Americas
229,SRE.N,Utilities,70.0051717581469,70.0051717581469,100.0,Americas
230,REGN.OQ,Healthcare,62.7325849625503,60.4203465353292,58.1081081081081,Americas
231,EFX.N,Industrials,45.2167658794956,32.5140433171063,19.811320754717,Americas
232,USB.N,Financials,64.7098212770599,34.4977677813871,4.28571428571429,Americas
233,CSGP.OQ,Technology,67.4605990706637,60.505447464326,53.5502958579882,Americas
234,HCA.N,Healthcare,64.7592488815902,54.1744962356669,43.5897435897436,Americas
235,AVGO.OQ,Technology,76.4535905478286,49.7652568123759,23.0769230769231,Americas
236,DHR.N,Healthcare,78.5777138574901,55.1672353071234,31.7567567567568,Americas
237,NWSA.OQ,Consumer Cyclicals,69.0219976493169,38.9981783118379,8.97435897435897,Americas
238,ERIE.OQ,Financials,43.0716465318322,43.0716465318322,100.0,Americas
239,RTX.N,Industrials,74.3301618501411,39.7512878216223,5.17241379310345,Americas
240,AAPL.OQ,Technology,77.7430649637163,40.3421207171522,2.94117647058824,Americas
241,CME.OQ,Financials,59.6959122786667,59.6959122786667,100.0,Americas
242,ADM.N,Consumer Non-Cyclicals,77.8203254016879,39.2226627008439,0.625,Americas
243,APD.N,Basic Materials,81.9647621801435,77.0400733977641,72.1153846153846,Americas
244,FANG.OQ,Energy,61.1499017387827,44.1551977829716,27.1604938271605,Americas
245,WRB.N,Financials,50.1210798297277,50.1210798297277,100.0,Americas
246,AXP.N,Financials,69.0711866435457,43.1070218932014,17.1428571428571,Americas
247,CLX.N,Consumer Non-Cyclicals,77.2689056408657,63.6344528204329,50.0,Americas
248,DOV.N,Industrials,66.002683155908,66.002683155908,100.0,Americas
249,FSLR.OQ,Energy,72.8646002074539,52.6087706919622,32.3529411764706,Americas
250,MTB.N,Financials,82.6842780972411,80.246633430643,77.8089887640449,Americas
251,FDX.N,Industrials,71.8594253931966,48.4297126965983,25.0,Americas
252,TROW.OQ,Financials,59.6550342776923,59.6550342776923,100.0,Americas
253,JKHY.OQ,Technology,56.3196545950351,56.3196545950351,100.0,Americas
254,O.N,Real Estate,79.3105555098061,79.3105555098061,100.0,Americas
255,MLM.N,Basic Materials,42.0091565712149,42.0091565712149,100.0,Americas
256,RVTY.N,Healthcare,72.4744027086077,72.4744027086077,100.0,Americas
257,L.N,Financials,38.449563607005,38.449563607005,46.9387755102041,Americas
258,QCOM.OQ,Technology,79.9231468886558,52.9615734443279,26.0,Americas
259,IPG.N,Consumer Cyclicals,82.3821714446131,66.1910857223065,50.0,Americas
260,PHM.N,Consumer Cyclicals,59.4367637296821,35.9683818648411,12.5,Americas
261,ANSS.OQ,Technology,56.5106692499429,56.5106692499429,84.3195266272189,Americas
262,ULTA.OQ,Consumer Cyclicals,45.9049486320558,45.9049486320558,100.0,Americas
263,KO.N,Consumer Non-Cyclicals,79.4970159226156,44.7485079613078,10.0,Americas
264,CSCO.OQ,Technology,82.3943639572614,53.6971819786307,25.0,Americas
265,WTW.OQ,Financials,64.5751378925207,64.5751378925207,100.0,Europe
266,ANET.N,Technology,56.7310092812366,56.7310092812366,71.875,Americas
267,ES.N,Utilities,71.8713681757301,55.2213983735794,38.5714285714286,Americas
268,CTAS.OQ,Industrials,62.119930189866,62.119930189866,100.0,Americas
269,GPN.N,Industrials,41.2659320296944,27.7084377129604,14.1509433962264,Americas
270,RSG.N,Industrials,80.3496539503101,80.3496539503101,100.0,Americas
271,LIN.OQ,Basic Materials,88.7622311048008,80.4388078600927,72.1153846153846,Europe
272,MCK.N,Healthcare,61.4315404492947,40.2266397898647,19.0217391304348,Americas
273,HLT.N,Consumer Cyclicals,77.5556449389615,47.8295466074118,18.1034482758621,Americas
274,NFLX.OQ,Technology,40.3729602782997,21.5022696128341,2.63157894736842,Americas
275,FI.N,Industrials,52.8975063323321,52.8975063323321,100.0,Americas
276,RF.N,Financials,80.201170695622,77.600585347811,75.0,Americas
277,WMT.N,Consumer Non-Cyclicals,81.2613986711116,41.2404554331168,1.21951219512195,Americas
278,AMGN.OQ,Healthcare,77.2401188478125,42.7245370358465,8.2089552238806,Americas
279,KIM.N,Real Estate,82.3927956261804,82.3927956261804,100.0,Americas
280,DG.N,Consumer Cyclicals,44.5656059756385,25.8542315592478,7.14285714285714,Americas
281,EQR.N,Real Estate,64.0017138560903,64.0017138560903,100.0,Americas
282,URI.N,Industrials,78.8362002233821,78.0544637480547,77.2727272727273,Americas
283,TDG.N,Industrials,44.8758853130868,44.8758853130868,100.0,Americas
284,CNC.N,Healthcare,70.7426518782486,54.6020951698935,38.4615384615385,Americas
285,NKE.N,Consumer Cyclicals,69.3748180867102,39.6874090433551,10.0,Americas
286,AES.N,Utilities,74.7232972981513,74.7232972981513,100.0,Americas
287,ELV.N,Healthcare,80.8320651616845,80.8320651616845,100.0,Americas
288,GWW.N,Industrials,75.8952309362852,75.8952309362852,100.0,Americas
289,K.N,Consumer Non-Cyclicals,79.3419688088837,53.2739255809124,27.2058823529412,Americas
290,GOOGL.OQ,Technology,81.337401195952,40.856670522788,0.37593984962406,Americas
291,GM.N,Consumer Cyclicals,78.5003374356118,40.5213551584838,2.54237288135593,Americas
292,CCI.N,Real Estate,68.0451969864847,68.0451969864847,100.0,Americas
293,COF.N,Financials,72.3443101684811,45.4418180055889,18.5393258426966,Americas
294,C.N,Financials,86.6546959059905,44.5985343936732,2.54237288135593,Americas
295,ODFL.OQ,Industrials,34.7312126830171,34.7312126830171,68.75,Americas
296,A.N,Healthcare,81.7321003462614,81.7321003462614,100.0,Americas
297,MOH.N,Healthcare,51.0650290133577,51.0650290133577,100.0,Americas
298,GS.N,Financials,86.3654109054353,43.7924615502786,1.21951219512195,Americas
299,MET.N,Financials,66.0917527652342,51.1708763826171,36.25,Americas
300,WYNN.OQ,Consumer Cyclicals,68.5893591532534,53.6912313007646,38.7931034482759,Americas
301,PSA.N,Real Estate,73.397432960744,73.397432960744,100.0,Americas
302,CPT.N,Real Estate,59.7544388484451,59.7544388484451,100.0,Americas
303,GDDY.N,Technology,53.2487851923746,53.2487851923746,81.5789473684211,Americas
304,MRNA.OQ,Healthcare,79.612687419793,53.9854481875085,28.3582089552239,Americas
305,BK.N,Financials,73.2466359419036,46.9891716294884,20.7317073170732,Americas
306,FAST.OQ,Industrials,63.275619767238,63.275619767238,100.0,Americas
307,LDOS.N,Technology,80.1326724163809,77.9784241202784,75.8241758241758,Americas
308,ORLY.OQ,Consumer Cyclicals,42.0664196995249,42.0664196995249,54.3103448275862,Americas
309,CSX.OQ,Industrials,62.8471257476249,40.7985628738124,18.75,Americas
310,CFG.N,Financials,60.2847718211138,60.2847718211138,75.0,Americas
311,NI.N,Utilities,62.8128018620391,62.8128018620391,100.0,Americas
312,MO.N,Consumer Non-Cyclicals,88.3924924388327,65.5197756311811,42.6470588235294,Americas
313,DD.N,Basic Materials,71.099863764544,38.9153164976566,6.73076923076923,Americas
314,AEP.OQ,Utilities,76.3456766566766,76.3456766566766,100.0,Americas
315,HOLX.OQ,Healthcare,58.4737217455585,58.4737217455585,64.1891891891892,Americas
316,BX.N,Financials,32.017536805355,23.9355976709702,15.8536585365854,Americas
317,BBY.N,Consumer Cyclicals,80.9336330013143,44.3461268454847,7.75862068965517,Americas
318,LHX.N,Industrials,66.7629998290526,66.7629998290526,100.0,Americas
319,APA.OQ,Energy,59.9417381116091,59.9417381116091,100.0,Americas
320,IFF.N,Consumer Non-Cyclicals,75.3442886100662,58.9956737167978,42.6470588235294,Americas
321,CEG.OQ,Utilities,59.1027732176878,59.1027732176878,100.0,Americas
322,STT.N,Financials,80.7609050969992,54.7872322095166,28.8135593220339,Americas
323,JCI.N,Industrials,79.0867359700851,51.2100346517092,23.3333333333333,Europe
324,FE.N,Utilities,61.7225173933431,40.8612586966715,20.0,Americas
325,PNC.N,Financials,71.1289938064782,56.4573540460962,41.7857142857143,Americas
326,VZ.N,Technology,70.9465656106477,38.1906741096717,5.43478260869565,Americas
327,NEM.N,Basic Materials,88.8600420212975,81.5659433407458,74.2718446601942,Americas
328,ROL.N,Industrials,26.0155369140393,26.0155369140393,100.0,Americas
329,KEY.N,Financials,72.7040541461918,39.2091699302388,5.71428571428571,Americas
330,GIS.N,Consumer Non-Cyclicals,77.5204359311645,46.1131591420528,14.7058823529412,Americas
331,CMCSA.OQ,Technology,68.7215026225513,46.3172730504061,23.9130434782609,Americas
332,VLTO.N,Industrials,71.0789731452619,71.0789731452619,100.0,Americas
333,PFE.N,Healthcare,75.6021180016358,41.0619285660353,6.52173913043478,Americas
334,EIX.N,Utilities,77.9968796705472,45.6948684067022,13.3928571428571,Americas
335,NWS.OQ,Consumer Cyclicals,69.0219976493169,38.9981783118379,8.97435897435897,Americas
336,MU.OQ,Technology,70.1835113258758,52.0917556629379,34.0,Americas
337,UPS.N,Industrials,57.1214023928819,31.6857011964409,6.25,Americas
338,SOLV.N,Healthcare,,,,Americas
339,TYL.N,Technology,63.661418777339,63.661418777339,100.0,Americas
340,UNP.N,Industrials,75.9485173642421,49.4325920154544,22.9166666666667,Americas
341,BAC.N,Financials,86.5629206173809,45.2477524435219,3.93258426966292,Americas
342,KMX.N,Consumer Cyclicals,56.1017939468653,47.4474486975706,38.7931034482759,Americas
343,PARA.OQ,Consumer Cyclicals,70.7645052350027,39.8694321046808,8.97435897435897,Americas
344,IP.N,Basic Materials,66.3621532894621,36.306076644731,6.25,Americas
345,MDT.N,Healthcare,78.0641210188387,40.3834118607707,2.7027027027027,Europe
346,MMM.N,Consumer Non-Cyclicals,91.604361569352,49.3736093561046,7.14285714285714,Americas
347,CZR.OQ,Consumer Cyclicals,66.8966957123571,46.8104168216958,26.7241379310345,Americas
348,UBER.N,Technology,78.9627702280005,40.4212347380604,1.8796992481203,Americas
349,INTU.OQ,Technology,80.2970871320898,75.5652102327116,70.8333333333333,Americas
350,OKE.N,Energy,71.8006300761101,71.8006300761101,100.0,Americas
351,ADP.OQ,Technology,68.2401772353154,68.2401772353154,100.0,Americas
352,EQIX.OQ,Real Estate,58.4168936479437,47.0655896811147,35.7142857142857,Americas
353,CHD.N,Consumer Non-Cyclicals,71.7191286879887,71.7191286879887,100.0,Americas
354,MTD.N,Technology,76.0466002899613,50.5233001449806,25.0,Americas
355,KDP.OQ,Consumer Non-Cyclicals,67.3409140521825,67.3409140521825,100.0,Americas
356,EBAY.OQ,Technology,73.842191823156,38.6128252348863,3.38345864661654,Americas
357,PEG.N,Utilities,58.1211631068056,58.1211631068056,100.0,Americas
358,BIIB.OQ,Healthcare,76.317902197205,44.1291003523339,11.9402985074627,Americas
359,CTSH.OQ,Technology,73.2167018134082,55.5432621493077,37.8698224852071,Americas
360,ALB.N,Basic Materials,72.6100181309868,72.3627013731857,72.1153846153846,Americas
361,TRGP.N,Energy,59.2321164173055,59.2321164173055,100.0,Americas
362,NCLH.N,Consumer Cyclicals,74.583523109687,74.583523109687,81.8965517241379,Americas
